group2,group3,totbal,newtotbal,balchange
treatment,treatment,518.81,0,-518.80999755859375
control,marketing,50,0,-50
control,marketing,133.04,18073.06,17940.01953125
treatment,treatment,526.12,547.55,21.43000030517578
control,control,405.86,125.86,-280
control,control,531.66,361.7,-169.9600067138672
treatment,treatment,14.94,0,-14.9399995803833
treatment,treatment,155.01,261.33,106.31999969482422
control,control,517.34,497,-20.34000015258789
treatment,treatment,0,0,0
treatment,treatment,0,0,0
treatment,treatment,113.68,0,-113.68000030517578
treatment,treatment,1017.95,245.41,-772.53997802734375
treatment,treatment,213.82,1066.92,853.0999755859375
control,control,621.58,0,-621.58001708984375
treatment,treatment,542.68,362.68,-180
treatment,treatment,2074.2,1002.8,-1071.4000244140625
control,control,305.13,317.54,12.40999984741211
control,control,507.04,227.04,-280
treatment,treatment,93.92,100,6.079999923706055
control,control,93.63,0,-93.62999725341797
treatment,treatment,239.19,84.34,-154.85000610351562
treatment,treatment,106.98,0,-106.9800033569336
treatment,treatment,153.1,2643.3,2490.199951171875
treatment,treatment,567.41,1209.75,642.34002685546875
treatment,treatment,116.11,0.85,-115.26000213623047
control,marketing,547.95,339.03,-208.9199981689453
treatment,treatment,1109.25,0,-1109.25
control,marketing,204.58,0,-204.5800018310547
treatment,treatment,543.14,365.36,-177.77999877929688
control,marketing,877.42,4140.48,3263.06005859375
control,marketing,279.06,294.05,14.989999771118164
control,marketing,367.6,87.6,-280
control,marketing,50,0,-50
control,control,306.64,1236.6,929.96002197265625
treatment,treatment,58.18,0,-58.18000030517578
treatment,treatment,1341.02,1558.84,217.82000732421875
treatment,treatment,103.66,0,-103.66000366210938
control,control,526.48,247.92,-278.55999755859375
treatment,treatment,1058.81,838.45,-220.36000061035156
control,marketing,638.7,0,-638.70001220703125
treatment,treatment,620.53,135.83,-484.70001220703125
treatment,treatment,1741.58,524.28,-1217.300048828125
treatment,treatment,585.25,181.68,-403.57000732421875
treatment,treatment,302.85,155.16,-147.69000244140625
treatment,treatment,1133.28,4261.27,3127.989990234375
control,control,0,0,0
treatment,treatment,517.62,125.01,-392.6099853515625
control,control,100.47,100,-0.4699999988079071
treatment,treatment,487.14,475.09,-12.050000190734863
control,control,1076.78,3309.44,2232.659912109375
control,control,322.95,65.53,-257.4200134277344
treatment,treatment,461.18,281.18,-180
treatment,treatment,131.32,196.32,65
control,marketing,103.67,259.51,155.83999633789062
control,control,462.17,3031.19,2569.02001953125
treatment,treatment,249.42,259.57,10.149999618530273
treatment,treatment,205.36,173.17,-32.189998626708984
control,control,1055.44,179.12,-876.32000732421875
treatment,treatment,1160.8,200,-960.79998779296875
treatment,treatment,547.11,629.11,82
control,marketing,443.59,163.59,-280
treatment,treatment,165.48,0,-165.47999572753906
control,control,562.54,285.55,-276.989990234375
control,marketing,2074.46,1116.21,-958.25
control,marketing,136.85,0,-136.85000610351562
control,control,120.45,3131.96,3011.510009765625
treatment,treatment,541.01,563.05,22.040000915527344
treatment,treatment,128.36,133.6,5.239999771118164
control,control,208.51,150.13,-58.380001068115234
control,marketing,131.92,15.5,-116.41999816894531
treatment,treatment,542.51,0,-542.510009765625
control,control,539.54,305.32,-234.22000122070312
control,marketing,512.77,633.65,120.87999725341797
control,control,395.03,285.72,-109.30999755859375
control,control,109.57,122.68,13.109999656677246
control,marketing,139.23,144.89,5.659999847412109
control,control,2168.88,0,-2168.8798828125
control,control,303.39,316.82,13.430000305175781
treatment,treatment,2165.81,2384.05,218.24000549316406
control,marketing,103.51,26.87,-76.63999938964844
treatment,treatment,200.77,734.81,534.03997802734375
control,control,173.24,37.44,-135.8000030517578
control,control,1038.63,6670.66,5632.02978515625
control,marketing,856.39,714.85,-141.5399932861328
control,marketing,105.58,109.88,4.300000190734863
control,control,233.93,225.53,-8.399999618530273
control,control,512.77,4222.66,3709.889892578125
treatment,treatment,567.71,590.85,23.139999389648438
treatment,treatment,23.04,0,-23.040000915527344
control,control,1086.15,806.15,-280
control,control,100.14,105.25,5.110000133514404
treatment,treatment,461.55,281.55,-180
control,control,150.64,2488.11,2337.469970703125
control,control,56.97,0,-56.970001220703125
control,control,371.89,91.89,-280
control,control,519.68,477.97,-41.709999084472656
control,marketing,572.03,539.96,-32.06999969482422
control,marketing,129.38,0,-129.3800048828125
treatment,treatment,308.04,379.73,71.69000244140625
control,control,511.15,1.15,-510
control,marketing,429.29,3513.11,3083.820068359375
control,marketing,117.03,0,-117.02999877929688
control,marketing,109.98,0,-109.9800033569336
treatment,treatment,520.75,479.08,-41.66999816894531
treatment,treatment,1558.77,3637.84,2079.070068359375
control,control,124.53,48.58,-75.94999694824219
treatment,treatment,493.83,213.83,-280
control,marketing,227.05,30.72,-196.3300018310547
control,control,522.28,459.24,-63.040000915527344
treatment,treatment,836.64,1571.79,735.1500244140625
treatment,treatment,512.69,534.02,21.329999923706055
control,marketing,486.6,300.05,-186.5500030517578
control,marketing,422.5,335.06,-87.44000244140625
control,control,156.62,104.94,-51.68000030517578
control,control,119.93,0,-119.93000030517578
control,marketing,101.67,111.69,10.020000457763672
control,control,451.59,117.78,-333.80999755859375
treatment,treatment,512.6,533.48,20.8799991607666
control,control,142.12,102.55,-39.56999969482422
control,marketing,550.21,316.1,-234.11000061035156
control,marketing,110.4,114.88,4.480000019073486
control,control,0,0,0
treatment,treatment,1930,670,-1260
control,marketing,548.7,336.08,-212.6199951171875
control,control,541.54,285.86,-255.67999267578125
control,marketing,534.99,343.6,-191.38999938964844
treatment,treatment,1187.11,2217.85,1030.739990234375
treatment,treatment,205.44,3224.46,3019.02001953125
treatment,treatment,138.75,114.36,-24.389999389648438
control,marketing,228.71,0,-228.7100067138672
control,control,145.24,151.88,6.639999866485596
control,marketing,557.29,2147.39,1590.0999755859375
control,marketing,674.39,398,-276.3900146484375
treatment,treatment,513.08,533.98,20.899999618530273
control,marketing,1542.86,1007.05,-535.80999755859375
treatment,treatment,2009.26,123.34,-1885.9200439453125
treatment,treatment,8.63,0,-8.630000114440918
treatment,treatment,107.69,0,-107.69000244140625
treatment,treatment,532.29,362.33,-169.9600067138672
control,control,211.48,128.26,-83.220001220703125
treatment,treatment,512.73,533.61,20.8799991607666
treatment,treatment,943.46,568.87,-374.5899963378906
control,marketing,2000.86,238.14,-1762.719970703125
control,control,516.9,537.93,21.030000686645508
treatment,treatment,1042.26,1207.07,164.80999755859375
control,control,105.44,308.58,203.13999938964844
control,marketing,107.5,0,-107.5
treatment,treatment,0,0,0
treatment,treatment,571.89,0,-571.8900146484375
treatment,treatment,0,0,0
treatment,treatment,610.55,398.76,-211.7899932861328
control,control,106.91,0,-106.91000366210938
control,marketing,461.61,181.61,-280
treatment,treatment,0,0,0
treatment,treatment,27.05,0,-27.049999237060547
treatment,treatment,0,0,0
control,marketing,0,124.76,124.76000213623047
control,marketing,141.87,25.71,-116.16000366210938
control,control,554.04,384.5,-169.5399932861328
treatment,treatment,135.86,0,-135.86000061035156
control,control,122.42,129.71,7.289999961853027
treatment,treatment,33.1,0,-33.099998474121094
treatment,treatment,51.95,0,-51.95000076293945
treatment,treatment,517.95,1280.48,762.530029296875
treatment,treatment,2081.42,822.9,-1258.52001953125
treatment,treatment,510.96,531.76,20.799999237060547
treatment,treatment,92.72,0,-92.720001220703125
treatment,treatment,213.98,19.17,-194.80999755859375
control,control,421.82,141.82,-280
control,marketing,163.28,149.93,-13.350000381469727
treatment,treatment,202.73,510.98,308.25
treatment,treatment,940.02,0,-940.02001953125
control,control,2046.91,786.91,-1260
control,marketing,240.9,1270.19,1029.2900390625
control,marketing,169.34,0,-169.33999633789062
treatment,treatment,442.14,103.32,-338.82000732421875
treatment,treatment,28.25,0,-28.25
control,marketing,107.54,1954.43,1846.8900146484375
control,marketing,10.34,0,-10.34000015258789
control,control,101.44,105.55,4.110000133514404
treatment,treatment,781.97,501.97,-280
treatment,treatment,103.84,108.07,4.230000019073486
control,marketing,117.08,0,-117.08000183105469
treatment,treatment,123.37,128.41,5.039999961853027
treatment,treatment,786.79,453.13,-333.6600036621094
control,marketing,593.66,717.84,124.18000030517578
control,marketing,97.63,0,-97.62999725341797
treatment,treatment,845.13,2484.68,1639.550048828125
control,control,987.25,707.25,-280
treatment,treatment,30.2,0,-30.200000762939453
treatment,treatment,221.08,230.09,9.010000228881836
control,control,286.11,6.11,-280
control,marketing,50,0,-50
control,control,167.95,174.8,6.849999904632568
control,control,126.7,114.89,-11.8100004196167
treatment,treatment,987.11,807.11,-180
control,marketing,107.86,283.22,175.36000061035156
treatment,treatment,987.82,707.82,-280
control,marketing,531.25,382.69,-148.55999755859375
treatment,treatment,1321.18,2825.87,1504.68994140625
treatment,treatment,2104.14,1921.12,-183.02000427246094
control,marketing,1517.31,1726.5,209.19000244140625
control,marketing,526.4,0,-526.4000244140625
control,control,1108.05,251.01,-857.03997802734375
treatment,treatment,563.66,173.94,-389.7200012207031
control,control,1523.98,443.98,-1080
control,control,134.26,17.9,-116.36000061035156
treatment,treatment,115.22,59.26,-55.959999084472656
treatment,treatment,575.07,427.46,-147.61000061035156
treatment,treatment,110.23,0,-110.2300033569336
control,marketing,508.98,529.72,20.739999771118164
control,marketing,100.85,147.65,46.79999923706055
treatment,treatment,1657.35,1484.05,-173.3000030517578
control,control,2077.48,147.64,-1929.8399658203125
treatment,treatment,309.44,260.35,-49.09000015258789
control,marketing,1716.97,597.45,-1119.52001953125
treatment,treatment,2170.78984375,1591.97,-538.78997802734375
control,marketing,170.17,0,-170.1699981689453
control,control,130.71,0,-130.7100067138672
control,marketing,128.18,0,-128.17999267578125
treatment,treatment,543.39,0,-543.3900146484375
treatment,treatment,528.35,656.16,127.80999755859375
treatment,treatment,1206.1,134.1,-1072
control,control,409.16,129.16,-280
treatment,treatment,539.03,166.89,-372.1400146484375
control,marketing,1043.22,114.85,-928.3699951171875
control,control,534.26,0,-534.260009765625
control,marketing,2148.89,8315,6166.10986328125
treatment,treatment,1117.05,112.61,-1004.4400024414062
treatment,treatment,706.7,426.7,-280
treatment,treatment,1881.31,968.12,-913.19000244140625
control,marketing,0,0,0
treatment,treatment,151.7,257.87,106.16999816894531
treatment,treatment,461.55,181.55,-280
control,control,512.77,533.65,20.8799991607666
control,control,171,0,-171
treatment,treatment,524.58,440.16,-84.41999816894531
treatment,treatment,534.52,113.99,-420.5299987792969
control,marketing,148.28,0,-148.27999877929688
control,control,171.51,37.81,-133.6999969482422
treatment,treatment,537.68,146.89,-390.7900085449219
control,marketing,1631.34,879.4,-751.94000244140625
treatment,treatment,532.06,462.1,-69.95999908447266
treatment,treatment,641.73,1358.57,716.84002685546875
treatment,treatment,1443.81,1163.81,-280
treatment,treatment,513.89,534.8,20.90999984741211
treatment,treatment,528.21,401.05,-127.16000366210938
control,control,111.65,0,-111.6500015258789
control,control,333.27,141.33,-191.94000244140625
treatment,treatment,722.16,442.16,-280
control,marketing,100.87,183.92,83.05000305175781
treatment,treatment,101.94,0,-101.94000244140625
treatment,treatment,1881.77,754.45,-1127.3199462890625
treatment,treatment,123.53,170.49,47.959999084472656
treatment,treatment,537.27,324.51,-212.75999450683594
treatment,treatment,135.9,80.68,-55.220001220703125
treatment,treatment,551.42,431.6,-119.81999969482422
treatment,treatment,629.51,176.11,-453.3999938964844
control,control,1068.82,293.03,-775.78997802734375
treatment,treatment,528.36,501.21,-27.149999618530273
control,control,190.3,137.01,-53.290000915527344
treatment,treatment,653.6,680.54,26.940000534057617
treatment,treatment,742.13,462.13,-280
treatment,treatment,563.29,100,-463.2900085449219
treatment,treatment,112.9,118.66,5.760000228881836
treatment,treatment,1044.25,262.63,-781.6199951171875
control,control,129.69,137.69,8
treatment,treatment,266.8,277.67,10.869999885559082
treatment,treatment,511.23,9059.76,8548.5302734375
control,marketing,157.79,123.78,-34.0099983215332
control,marketing,173.2,180.24,7.039999961853027
treatment,treatment,59.84,131.23,71.38999938964844
treatment,treatment,112.7,100,-12.699999809265137
treatment,treatment,101.6,105.72,4.119999885559082
treatment,treatment,350.66,372.23,21.56999969482422
control,control,118.3,85.08,-33.220001220703125
treatment,treatment,136.16,0,-136.16000366210938
control,control,444.97,164.97,-280
treatment,treatment,200.9,229.33,28.43000030517578
control,marketing,1352.34,2069.47,717.1300048828125
control,control,532.12,1647.89,1115.77001953125
control,marketing,914.54,634.54,-280
control,marketing,169.08,0,-169.0800018310547
control,marketing,132.24,137.62,5.380000114440918
control,marketing,143.61,152.45,8.84000015258789
treatment,treatment,388.68,313.26,-75.41999816894531
control,marketing,114.79,0,-114.79000091552734
control,control,124.48,0,-124.4800033569336
control,control,128.12,0,-128.1199951171875
control,control,1031.28,0,-1031.280029296875
treatment,treatment,144.84,13227.27,13082.4296875
control,control,2065.28,0,-2065.280029296875
treatment,treatment,236.96,220.09,-16.8700008392334
treatment,treatment,144.2,481.86,337.6600036621094
treatment,treatment,526.88,421.14,-105.73999786376953
treatment,treatment,176.19,283.64,107.44999694824219
treatment,treatment,1224.37,944.37,-280
treatment,treatment,115.3,465.73,350.42999267578125
treatment,treatment,541.87,1015.08,473.2099914550781
control,marketing,116.08,0,-116.08000183105469
treatment,treatment,0,0,0
control,marketing,509.3,530.04,20.739999771118164
control,control,106.93,0,-106.93000030517578
treatment,treatment,215.72,0,-215.72000122070312
treatment,treatment,272.7,0,-272.70001220703125
control,control,129.57,0,-129.57000732421875
treatment,treatment,605.64,115.8,-489.8399963378906
control,marketing,407.43,0,-407.42999267578125
control,marketing,780.01,823.09,43.08000183105469
treatment,treatment,532.66,144.02,-388.6400146484375
control,marketing,148.64,0,-148.63999938964844
control,marketing,128.32,0,-128.32000732421875
treatment,treatment,532.69,362.74,-169.9499969482422
treatment,treatment,29.03,0,-29.030000686645508
treatment,treatment,289.92,301.7,11.779999732971191
treatment,treatment,517.88,0,-517.8800048828125
control,marketing,323.51,67.39,-256.1199951171875
treatment,treatment,116.52,154.82,38.29999923706055
control,control,215.51,6094.19,5878.68017578125
control,marketing,532.74,383.07,-149.6699981689453
treatment,treatment,1120.16,65.24,-1054.9200439453125
control,control,510.3,125.62,-384.67999267578125
treatment,treatment,542.02,0,-542.02001953125
treatment,treatment,313.61,0,-313.6099853515625
treatment,treatment,522.54,138.91,-383.6300048828125
control,control,536.2,473.62,-62.58000183105469
treatment,treatment,120.75,0,-120.75
treatment,treatment,101.44,105.55,4.110000133514404
treatment,treatment,50,0,-50
control,marketing,2115.68,2156.07,40.38999938964844
control,control,2020.61,560,-1460.6099853515625
control,marketing,987.7,0,-987.70001220703125
treatment,treatment,507.41,100,-407.4100036621094
treatment,treatment,120.13,46.01,-74.12000274658203
control,control,461.55,0,-461.54998779296875
treatment,treatment,2072.55,922.59,-1149.9599609375
control,control,1257.53,1308.72,51.189998626708984
treatment,treatment,292.48,35338.86,35046.37890625
treatment,treatment,112.54,36.21,-76.33000183105469
control,marketing,2001.39,741.39,-1260
control,control,510.2,530.98,20.780000686645508
treatment,treatment,517.33,237.33,-280
control,control,114.82,227.21,112.38999938964844
control,control,532.65,148.36,-384.2900085449219
treatment,treatment,209.26,217.78,8.520000457763672
control,control,1723.48,829.94,-893.53997802734375
treatment,treatment,349.76,69.76,-280
treatment,treatment,105.37,8.51,-96.86000061035156
treatment,treatment,481.55,301.55,-180
control,marketing,133.81,0,-133.80999755859375
control,control,524.45,3401.91,2877.4599609375
control,marketing,212.44,139.35,-73.089996337890625
control,control,240.07,249.85,9.779999732971191
treatment,treatment,318.35,168.68,-149.6699981689453
treatment,treatment,722.19,0,-722.19000244140625
control,control,109.38,117.53,8.149999618530273
control,control,100.27,0,-100.2699966430664
treatment,treatment,0,0,0
treatment,treatment,1003.06,723.06,-280
control,marketing,1633.11,428.92,-1204.18994140625
control,control,156.6,100,-56.599998474121094
control,control,522.95,459.95,-63
control,control,1000,440.17,-559.83001708984375
control,control,327.14,1248.41,921.27001953125
treatment,treatment,211.97,4420.09,4208.1201171875
control,marketing,122.24,0,-122.23999786376953
control,marketing,987.82,707.82,-280
treatment,treatment,524.82,0,-524.82000732421875
treatment,treatment,1017.88,1179.44,161.55999755859375
treatment,treatment,124.13,27.82,-96.30999755859375
control,marketing,515.94,541.8,25.860000610351562
treatment,treatment,529.97,147.23,-382.739990234375
control,control,1134.49,1114.41,-20.079999923706055
treatment,treatment,136.53,142.09,5.559999942779541
control,control,2001.95,762.72,-1239.22998046875
control,marketing,835.37,819.77,-15.600000381469727
treatment,treatment,2055.4,863.01,-1192.3900146484375
control,control,130.11,0,-130.11000061035156
control,marketing,104.47,0,-104.47000122070312
treatment,treatment,157.19,0,-157.19000244140625
control,marketing,37.55,0,-37.54999923706055
treatment,treatment,1556.61,1276.61,-280
control,control,511.37,351.37,-160
treatment,treatment,121.19,0,-121.19000244140625
treatment,treatment,137.53,23.15,-114.37999725341797
control,marketing,503.97,223.97,-280
control,marketing,117.88,0,-117.87999725341797
treatment,treatment,106.47,0,-106.47000122070312
control,marketing,215.2,223.96,8.760000228881836
control,control,128.47,138.58,10.109999656677246
treatment,treatment,752.69,886.49,133.8000030517578
treatment,treatment,105.46,8.6,-96.86000061035156
treatment,treatment,1514.47,3250.72,1736.25
treatment,treatment,4.285499877929688,0,0
control,marketing,1320.59,104.65,-1215.93994140625
control,control,504.9,0,-504.8999938964844
treatment,treatment,134.67,0,-134.6699981689453
control,control,103.26,407.46,304.20001220703125
treatment,treatment,133.44,18.9,-114.54000091552734
control,control,517.13,1239.22,722.09002685546875
control,control,517.42,0,-517.41998291015625
control,marketing,516.57,537.59,21.020000457763672
treatment,treatment,0,0,0
treatment,treatment,102.8,66.69,-36.11000061035156
control,control,1914.43,116.32,-1798.1099853515625
treatment,treatment,0,3002.79,3002.7900390625
control,marketing,200,361.15,161.14999389648438
control,marketing,2074.54,160.78,-1913.760009765625
treatment,treatment,107.88,0,-107.87999725341797
treatment,treatment,443.35,461.4,18.049999237060547
control,marketing,2001.03,872.66,-1128.3699951171875
control,control,154.8,0,-154.8000030517578
control,marketing,1962.99,101.21,-1861.780029296875
treatment,treatment,329.81,343.23,13.420000076293945
control,marketing,442.87,162.87,-280
treatment,treatment,600.42,202.53,-397.8900146484375
treatment,treatment,107.23,71.3,-35.93000030517578
control,control,479.62,199.62,-280
control,marketing,721.84,643.25,-78.589996337890625
treatment,treatment,1061.19,701.1,-360.0899963378906
control,marketing,158.67,0,-158.6699981689453
treatment,treatment,507.04,310.73,-196.30999755859375
treatment,treatment,56.6289990234375,0,-50
treatment,treatment,313.03,201.51,-111.5199966430664
treatment,treatment,9.59,1715.96,1706.3699951171875
treatment,treatment,1208.21,2946.87,1738.6600341796875
control,marketing,0,500,500
treatment,treatment,256.06,18.8,-237.25999450683594
treatment,treatment,127.2,100,-27.200000762939453
control,marketing,312.56,263.57,-48.9900016784668
treatment,treatment,112.39,0,-112.38999938964844
control,control,124.96,28.66,-96.30000305175781
control,marketing,105.98,0,-105.9800033569336
control,marketing,711.41,0,-711.40997314453125
treatment,treatment,305.11,317.52,12.40999984741211
treatment,treatment,482.24,574.74,92.5
control,marketing,0,0,0
control,control,104.51,0,-104.51000213623047
treatment,treatment,108.01,11.22,-96.79000091552734
treatment,treatment,132.52,56.82,-75.69999694824219
control,marketing,938.7,1190.19,251.49000549316406
treatment,treatment,546.84,415.65,-131.19000244140625
control,control,112.8,0,-112.80000305175781
control,marketing,307.12,299.63,-7.489999771118164
control,marketing,114.78,120.32,5.539999961853027
treatment,treatment,114.7,119.37,4.670000076293945
treatment,treatment,105.94,2325.58,2219.639892578125
control,marketing,115.21,0,-115.20999908447266
control,control,0,0,0
treatment,treatment,107.75,231.24,123.48999786376953
control,marketing,421.27,141.27,-280
treatment,treatment,103.37,216.62,113.25
control,control,238.84,0,-238.83999633789062
treatment,treatment,206.18,0,-206.17999267578125
control,control,113.47,329.67,216.1999969482422
control,marketing,507.65,528.32,20.670000076293945
control,control,0,0,0
treatment,treatment,0,0,0
treatment,treatment,126.42,137.66,11.239999771118164
control,control,532.62,362.67,-169.9499969482422
treatment,treatment,161.88,0,-161.8800048828125
control,marketing,2066.4,807.84,-1258.56005859375
control,marketing,1005.99,236.27,-769.719970703125
treatment,treatment,155.18,164.73,9.550000190734863
treatment,treatment,2071.72,1021.76,-1049.9599609375
control,marketing,533.64,363.7,-169.94000244140625
control,control,229.75,344.99,115.23999786376953
control,marketing,891.64,611.64,-280
control,control,1401.54,0,-1401.5400390625
control,control,1233.26,1078.15,-155.11000061035156
control,control,1172.68,0,-1172.6800537109375
control,marketing,106.45,107.44,0.9900000095367432
control,control,524.82,0,-524.82000732421875
control,marketing,140.38,640.39,500.010009765625
control,control,879.58,117.56,-762.02001953125
control,marketing,524.82,246.25,-278.57000732421875
treatment,treatment,125.45,130.68,5.230000019073486
treatment,treatment,72.53,0,-72.529998779296875
treatment,treatment,200,2582.16,2382.159912109375
treatment,treatment,559.12,403.58,-155.5399932861328
treatment,treatment,461.95,181.95,-280
control,marketing,1054.09,962.66,-91.43000030517578
control,control,540.16,305.96,-234.1999969482422
control,control,113.62,13749.4,13635.7802734375
control,control,98.22,0,-98.220001220703125
treatment,treatment,653.08,0,-653.08001708984375
control,control,1654.8,0,-1654.800048828125
control,control,531.99,455.8,-76.19000244140625
treatment,treatment,88.11,287.4,199.2899932861328
control,marketing,729.06,754.06,25
control,marketing,1078.42,929.03,-149.38999938964844
control,control,2.6,0,-2.5999999046325684
treatment,treatment,607.98,327.98,-280
treatment,treatment,1101.27,854.45,-246.82000732421875
